Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C4",C_0805_2012Metric,C49678,3
10K,"R1,R4,R5",R_0805_2012Metric,C17414,3
10uF,"C12,C13,C8,C9",C_0805_2012Metric,C15850,4
1uF,"C1,C2",C_0805_2012Metric,C28323,2
2.2K,"R2,R3",R_0805_2012Metric,C17520,2
220,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17557,1
220,R11,R_0603_1608Metric,C22962,1
22uF,C3,C_0805_2012Metric,C45783,1
2k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C1359,1
330uF,C14,C_Elec_8x10.2,C74593,1
4.7uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6119904,1
40V 3A 550mV@3A Schottky,"D1,D7,D8,D9",D_SMA-SMB_Universal_Handsoldering,C8678,4
47uH/2A,L1,L_Chilisin_BMRB00060624,C5189938,1
5K1,"R6,R7",R_0805_2012Metric,C27834,2
AMS1117-3.3,"U7,U8",SOT-223-3_TabPin2,C6186,2
BAT_JST_01x02,J9,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,C20079,1
BZV55C27,D5,D_SMA,C688905,1
Beagle P8,J5,PinHeader_2x23_P2.54mm_Vertical,C725895,1
Beagle P9,J6,PinHeader_2x23_P2.54mm_Vertical,C725895,1
Conn_ARM_JTAG_SWD_10,J10,PinHeader_2x05_P1.27mm_Vertical,C2935953,1
ESD9B5.0ST5G,"D2,D3,D4",D_SOD-923,C111566,3
ESP32 USB,J7,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2765186,1
ESP32-C6-MINI-1/U,U4,XCVR_ESP32-C3-MINI-1U-N4,C20627095,1
FerriteBead,FB1,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,C668306,1
Fuse,F1,Fuse_1206_3216Metric,C3105,1
LED,"D10,D6",LED_0603_1608Metric,C6848499,2
MCP73831-2-OT,U5,SOT-23-5,C14879,1
SMXS-02K-TP,U1,C5439761,C5439761,1
SMXS-08K-TP,SW5,C5439767,C5439767,1
SW_Push,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK,C720477,2
Screw_Terminal_01x02,J8,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C8404,1
XL1509-5.0,U6,SOIC-8_3.9x4.9mm_P1.27mm,C61063,1
Conn_01x08,J2,PinSocket_1x08_P2.54mm_Vertical,,1
4.7uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_01x08,J4,PinSocket_1x08_P2.54mm_Vertical,,1
10k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x08,J3,PinSocket_1x08_P2.54mm_Vertical,,1
Conn_01x08,J1,PinSocket_1x08_P2.54mm_Vertical,,1
4.7uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
