Designator,Mid X,Mid Y,Rotation,Layer
C1_3,34.201,-21.5,270.0,top
C1_2,10.201,-21.5,270.0,top
C1,58.201,-21.5,270.0,top
C2_3,58.176,-17.5,0.0,top
C2_2,10.176,-17.5,0.0,top
C2,34.176,-17.5,0.0,top
C3_3,10.201,-15.5,0.0,top
C3_2,58.201,-15.5,0.0,top
C3,34.201,-15.5,0.0,top
C4_3,34.201,-13.5,0.0,top
C4_2,10.201,-13.5,0.0,top
C4,58.201,-13.5,0.0,top
C5_3,58.201,-7.7,0.0,top
C5_2,34.201,-7.7,0.0,top
C5,10.201,-7.7,0.0,top
C6_3,10.201,-11.5,0.0,top
C6_2,34.201,-11.5,0.0,top
C6,58.201,-11.5,0.0,top
D1_3,52.201,-21.9125,270.0,top
D1_2,76.201,-21.9125,270.0,top
D1,28.201,-21.9125,270.0,top
D2_3,75.9967,-11.7139,270.0,top
D2_2,27.9967,-11.7139,270.0,top
D2,51.9967,-11.7139,270.0,top
J1_3,7.001,1.0,0.0,top
J1_2,31.001,1.0,0.0,top
J1,55.001,1.0,0.0,top
KIKIT_FID_B_1,2.0,-2.0,180.0,bottom
KIKIT_FID_B_2,84.002,-2.0,180.0,bottom
KIKIT_FID_B_3,2.0,-28.0,180.0,bottom
KIKIT_FID_B_4,84.002,-28.0,180.0,bottom
KIKIT_FID_T_1,2.0,-2.0,0.0,top
KIKIT_FID_T_2,84.002,-2.0,0.0,top
KIKIT_FID_T_3,2.0,-28.0,0.0,top
KIKIT_FID_T_4,84.002,-28.0,0.0,top
R1_3,28.201,-18.5,90.0,top
R1_2,52.201,-18.5,90.0,top
R1,76.201,-18.5,90.0,top
R2_3,58.201,-9.5,180.0,top
R2_2,10.201,-9.5,180.0,top
R2,34.201,-9.5,180.0,top
R3_3,51.9967,-8.1139,90.0,top
R3_2,75.9967,-8.1139,90.0,top
R3,27.9967,-8.1139,90.0,top
SW1_3,60.601,-3.625,180.0,top
SW1_2,36.601,-3.625,180.0,top
SW1,12.601,-3.625,180.0,top
U1_3,67.301,-16.0,0.0,top
U1_2,43.301,-16.0,0.0,top
U1,19.301,-16.0,0.0,top
