Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C2, C3",0603,4,4.7uF,
"C10, C14, C16, C21, C23, C24, C25, C26, C9",0603,9,0.1uF,
"C11, C8",0603,2,18pF,
"C12, C13, C28, C4, C5",0805,5,10uF,
"C15, C22",0603,2,10nF,
"C18, C19",0603,2,6.8nF,
C20,0603,1,22nF,
"C27, C29, C7",1206,3,220uF,
C6,1206,1,330uF,
CARD1,TF-SMD_TF-15-15,1,TF-15×15,
"D1, D7",0603,2,LED,
"D2, D3, D4, D5, D9",D_SMA-SMB_Universal_Handsoldering,5,40V 3A 550mV@3A Schottky,
"D6, D8",D_SMA,2,BZV55C27,
F1,FUSC3115X66N,1,Fuse,
"J1, J2",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,
J10,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,BAT_JST_01x02,
J4,RJ45_Bel_SI-60062-F,1,RJ45_Bel_SI-60062-F JLC,
J5,PinSocket_2x23_P2.54mm_Vertical,1,P8,
J6,PinSocket_2x23_P2.54mm_Vertical,1,P9,
J7,SOIC-16W_5.3x10.2mm_P1.27mm,1,TSS721ADR,
"J8, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"L1, L2",L_Chilisin_BMRB00060624,2,47uH/2A,
"L3, L4",0603,2,L_Ferrite,
L5,BEADC3216X130N,1,Ferrite Bead,
R1,0603,1,2k,
"R12, R15, R16, R17",0603,4,49.9,
R18,0603,1,10,
"R19, R2, R5, R6, R7",0603,5,10k,
"R20, R21",0603,2,330,
R22,0402,1,1k,
"R23, R25, R26, R4",0603,4,220,
R24,0603,1,30k,
R27,0603,1,100,
R8,0603,1,1M,
R9,0603,1,12K 1%,
"RN1, RN2",R_Array_Convex_4x0603,2,4D02WGJ0103TCE,
RN3,R_Array_Convex_4x0603,1,4D02WGJ0330TCE,
U1,SOT-23-5,1,MCP73831-2-OT,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U3,TO-263-5_TabPin3,1,LM2575S-3.3(UMW),
U4,LQFP-48_7x7mm_P0.5mm,1,W5500,
U5,SOT-363_SC-70-6,1,NUP4202,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
