Designator,Mid X,Mid Y,Rotation,Layer
C1,203.575,-59.9,180.0,top
C10,180.5,-90.5,90.0,top
C11,190.175,-103.85,90.0,top
C12,181.05,-102.775,180.0,top
C13,192.0,-87.45,90.0,top
C14,181.05,-100.875,180.0,top
C15,179.025,-97.675,180.0,top
C16,190.0,-87.5,90.0,top
C17,179.0,-95.75,180.0,top
C18,190.875,-72.45,0.0,top
C19,190.875,-70.55,0.0,top
C2,199.5,-69.575,90.0,top
C20,195.3,-73.575,270.0,top
C21,193.75,-87.7,90.0,top
C22,187.4,-76.05,0.0,top
C23,199.5,-86.5,90.0,top
C24,195.0,-86.5,90.0,top
C25,198.0,-86.5,90.0,top
C26,196.5,-86.5,90.0,top
C3,197.8,-69.55,90.0,top
C4,169.0,-79.0,180.0,top
C5,179.45,-118.9,270.0,top
C6,180.0,-76.0,0.0,top
C7,176.0,-120.0,90.0,top
C8,184.175,-103.85,90.0,top
C9,188.5,-88.485,90.0,top
D1,206.3375,-53.5,0.0,top
D2,170.4,-94.0,0.0,top
D3,171.35,-106.8,0.0,top
D4,171.45,-112.55,0.0,top
D5,165.6,-55.5,180.0,top
D6,174.0,-56.5,180.0,top
D7,168.0,-123.5,0.0,top
F1,187.0,-111.5,0.0,top
J2,169.5,-48.0,0.0,top
J3,205.25,-46.3,0.0,top
J4,188.375,-55.725,180.0,top
J5,209.53,-90.5,0.0,top
J6,161.53,-90.55,0.0,top
L1,169.5,-85.475,90.0,top
L2,197.9,-110.15,0.0,top
L3,187.0,-88.1,270.0,top
L4,179.0,-93.5,0.0,top
L5,178.5,-125.0,0.0,top
Q1,169.0125,-98.39,0.0,top
Q2,180.5,-68.0,0.0,top
Q3,171.0,-67.5,90.0,top
R1,206.575,-57.1,90.0,top
R10,187.4,-74.25,180.0,top
R11,187.3,-68.65,180.0,top
R12,187.375,-72.45,180.0,top
R13,198.9,-78.3,270.0,top
R14,191.7,-78.525,270.0,top
R15,187.375,-70.55,180.0,top
R16,193.6,-77.0,90.0,top
R17,197.0,-77.05,90.0,top
R18,195.3,-77.025,90.0,top
R19,174.45,-98.24,90.0,top
R2,172.0,-54.0,0.0,top
R20,178.0,-51.0,270.0,top
R21,199.0,-46.0,270.0,top
R22,162.99,-60.0,0.0,top
R23,167.7875,-120.5,0.0,top
R3,174.0,-53.5,270.0,top
R4,203.075,-53.4,180.0,top
R5,197.425,-92.175,270.0,top
R6,197.425,-95.275,90.0,top
R7,197.425,-98.475,90.0,top
R8,187.175,-107.55,0.0,top
R9,185.325,-88.175,270.0,top
RN1,193.8,-101.375,90.0,top
RN2,198.6,-103.0,90.0,top
U1,203.1375,-56.95,180.0,top
U2,179.0,-80.095,270.0,top
U3,192.75,-121.3,0.0,top
U4,187.025,-95.375,180.0,top
U5,202.6,-73.275,180.0,top
Y1,187.15,-103.85,0.0,top
