Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
C10,0603,1,33pF,
"C12, C14, C15, C16, C17, C18, C6, C7, C8",0402,9,0.1uF,
"C13, C3, C4, C5",0805,4,10uF,
C2,0805,1,330uF,
"D1, D2, D4, D9",D_SOD-923,4,ESD9B5.0ST5G,
"D10, D5, D7, D8",0603,4,LED,
D3,D_SMA-SMB_Universal_Handsoldering,1,40V 3A 550mV@3A Schottky,
D6,SOT-23-5,1,ESDA6V1SC5,
F1,1206,1,Fuse,
FB1,1206,1,FerriteBead,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,BAT_JST_01x02,
"J5, J6",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
L1,L_Chilisin_BMRB00060624,1,47uH/2A,
"Q1, Q2, Q3",SOT-23,3,SS8050,
"R1, R2",0603,2,5K1,
"R10, R13, R14, R15, R3, R9",0402,6,100,
"R11, R12, R8",0603,3,47K,
"R16, R17, R4",0603,3,10K,
"R5, R6, R7",0603,3,4.7K,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
U1,BB_Cape,1,BEAGLEBONEBLACK,
U2,TO-263-5_TabPin3,1,LM2575S-3.3(UMW),
U3,XCVR_SIM7080G,1,SIM7080G,
U4,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,1,TXB0108RGY,
U5,SIM-SMD_NANO-SIM-XG6P-H1.35,1,NANO SIM XG6P H1.35,
U6,XCVR_ESP32-C3-MINI-1U-N4,1,ESP32-C3-MINI-1U-H4,
U7,RAK3172,1,RAK3172,
U8,XCVR_RC-S2LP-868,1,RC-S2LP-868,
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC138,
