Designator,Mid X,Mid Y,Rotation,Layer
C1,230.86,-63.13,180.0,top
C10,211.415,-89.99,0.0,top
C12,219.88,-91.26,180.0,top
C13,224.94,-100.9,270.0,top
C14,226.66,-101.07,270.0,top
C15,226.6,-105.35,0.0,top
C16,196.28,-129.08,90.0,top
C17,199.54,-113.87,180.0,top
C18,214.15,-111.69,90.0,top
C2,221.83,-69.1,0.0,top
C3,201.44,-92.61,0.0,top
C4,201.48,-94.93,0.0,top
C5,201.46,-90.3,0.0,top
C6,204.18,-95.17,270.0,top
C7,204.28,-61.75,180.0,top
C8,215.47,-88.12,270.0,top
D1,233.27,-56.84,0.0,top
D10,235.0,-97.67,90.0,top
D2,230.9,-56.84,0.0,top
D3,218.9425,-82.49,0.0,top
D4,235.71,-56.84,180.0,top
D5,209.2725,-68.05,0.0,top
D6,200.34,-64.7825,270.0,top
D7,195.42,-111.8125,90.0,top
D8,206.3025,-103.815,180.0,top
D9,209.345,-91.53,90.0,top
F1,233.52,-59.56,0.0,top
FB1,216.21,-69.13,180.0,top
J1,239.24,-92.76,0.0,bottom
J10,230.515,-97.27,180.0,top
J2,191.03,-92.77,0.0,bottom
J3,234.14,-51.21,180.0,top
J4,192.81,-52.35,270.0,top
J5,205.6,-64.46,270.0,top
J6,197.06,-93.14,180.0,top
J7,196.48,-105.21,0.0,top
J8,196.46,-99.03,180.0,top
J9,200.77,-102.08,0.0,top
L1,219.95,-75.42,90.0,top
Q1,206.955,-91.6725,270.0,top
Q2,199.33,-111.0225,270.0,top
Q3,207.7225,-101.03,180.0,top
R1,229.75,-59.58,90.0,top
R10,203.715,-101.78,90.0,top
R11,195.66,-116.995,90.0,top
R12,204.855,-99.02,90.0,top
R13,196.87,-109.45,90.0,top
R14,204.925,-101.79,90.0,top
R15,234.87,-95.08,180.0,top
R16,224.72,-104.34,270.0,top
R17,211.65,-112.82,180.0,top
R2,240.74,-51.565,270.0,top
R3,212.39,-68.54,0.0,top
R4,196.8,-64.92,270.0,top
R5,206.04,-95.29,90.0,top
R6,196.45,-114.47,0.0,top
R7,207.345,-98.31,0.0,top
R8,207.785,-95.34,270.0,top
R9,201.81,-108.92,90.0,top
SW1,231.12,-103.76,180.0,top
SW2,206.07,-110.86,0.0,top
U10,216.83,-101.41,180.0,top
U2,230.135,-77.525,270.0,top
U3,204.17,-78.88,180.0,top
U4,218.92,-88.07,270.0,top
U5,201.72,-53.6275,180.0,top
U7,198.315,-114.715,270.0,top
U8,223.92,-118.17,180.0,top
U9,229.535,-89.3,0.0,top
