Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C10,C11,C12,C13,C2,C5",C_0805_2012Metric,C49678,7
100,"R12,R7",R_0805_2012Metric,C17408,2
100uF,C9,C_1206_3216Metric,C15008,1
10K,R1,R_0805_2012Metric,C17414,1
10uF,C3,C_0805_2012Metric,C15850,1
22,"R3,R4,R5",R_0805_2012Metric,C17561,3
22pF,"C6,C7,C8",C_0805_2012Metric,C1804,3
4.7K,"R2,R8,R9",R_0805_2012Metric,C17673,3
47K,"R10,R11,R6",R_0805_2012Metric,C17713,3
Conn_01x08,"J2,J3",PinHeader_1x08_P2.54mm_Vertical,C492407,2
Conn_Coaxial,"J1,J4",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373,2
ESD9B5.0ST5G,"D1,D5",D_SOD-923,C111566,2
ESDA6V1SC5,D2,SOT-23-5,C2935146,1
LED,"D3,D4",LED_0805_2012Metric,C6848499,2
NANO SIM XG6P H1.35,U3,SIM-SMD_NANO-SIM,C7529386,1
NPN,"Q1,Q2,Q3",SOT-23,C2150,3
SIM7080G,U2,SIM7080G,C2943992,1
TXB0108RGY,U1,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,C194701,1
