Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,106.3,-96.8,180.0,top
C10,0.1uF,C_0805_2012Metric,107.95,-70.3,0.0,top
C11,0.1uF,C_0805_2012Metric,104.15,-70.3,180.0,top
C12,0.1uF,C_0805_2012Metric,107.95,-68.1,0.0,top
C13,0.1uF,C_0805_2012Metric,104.15,-68.1,180.0,top
C2,0.1uF,C_0805_2012Metric,103.4,-102.9,90.0,top
C3,10uF,C_0805_2012Metric,102.9,-72.9,180.0,top
C5,0.1uF,C_0805_2012Metric,100.55,-105.7,0.0,top
C6,22pF,C_0805_2012Metric,105.8,-100.2,-90.0,top
C7,22pF,C_0805_2012Metric,105.8,-104.725,-90.0,top
C8,22pF,C_0805_2012Metric,112.4,-104.725,-90.0,top
C9,100uF,C_1206_3216Metric,107.3,-72.8,180.0,top
D1,ESD9B5.0ST5G,D_SOD-923,115.6,-82.68,90.0,top
D2,ESDA6V1SC5,SOT-23-5,111.0,-100.4625,180.0,top
D3,LED,LED_0805_2012Metric,99.9,-69.2,90.0,top
D4,LED,LED_0805_2012Metric,111.4,-96.2,90.0,top
D5,ESD9B5.0ST5G,D_SOD-923,93.78,-91.7,180.0,top
J1,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,95.2,-68.7,-90.0,top
J2,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,93.3,-110.4,0.0,bottom
J3,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,116.16,-110.4,0.0,bottom
J4,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,114.2,-68.7,-90.0,top
Q1,NPN,SOT-23,94.9,-74.0,270.0,top
Q2,NPN,SOT-23,94.4,-94.6,270.0,top
Q3,NPN,SOT-23,114.8,-94.9,90.0,top
R1,10K,R_0805_2012Metric,115.6,-79.5125,-90.0,top
R10,47K,R_0805_2012Metric,115.7,-91.1,90.0,top
R11,47K,R_0805_2012Metric,96.9,-101.5,90.0,top
R12,100,R_0805_2012Metric,115.0,-98.0,180.0,top
R2,4.7K,R_0805_2012Metric,93.6,-81.9,90.0,top
R3,22,R_0805_2012Metric,107.96,-100.2,-90.0,top
R4,22,R_0805_2012Metric,108.0,-104.745,-90.0,top
R5,22,R_0805_2012Metric,110.2,-104.745,-90.0,top
R6,47K,R_0805_2012Metric,93.6,-78.0,90.0,top
R7,100,R_0805_2012Metric,98.6875,-72.4,0.0,top
R8,4.7K,R_0805_2012Metric,96.9,-105.3,90.0,top
R9,4.7K,R_0805_2012Metric,115.7,-87.4,-90.0,top
U1,TXB0108RGY,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,101.25,-98.45,-90.0,top
U2,SIM7080G,SIM7080G,104.6,-84.5,0.0,top
U3,NANO SIM XG6P H1.35,SIM-SMD_NANO-SIM,105.2,-114.5025,0.0,top
