Designator,Footprint,Quantity,Value,LCSC Part #,DigiKey Part,Unit Price ($),Total Price
C1,1206,1,100uF,,C1206C106J3RACAUTO,1.01,1.01
"C2, C3, C6",603,3,1uF,,CC0603JRX7R7BB105,0.17,0.51
"C4, C5",603,2,0.1uF,,KGM15AR70J104JT,0.1,0.2
"D1, D2",603,2,LED,,150060VS75000,0.15,0.3
J1,2230-key-E,1,Bus_M.2_Socket_E,,,0,0
"R1, R3",603,2,100,,ERJ-3EKF1000V,0.1,0.2
R2,603,1,10K,,RC0603FR-0710KL,0.1,0.1
SW1,SW4_PTS815 SJM 250 SMTR LFS_CNK,1,SW_Push,,PTS815 SJM 250 SMTR LFS,0.26,0.26
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,,,0,0
U1,ESP32-C6-MINI-1U,1,ESP32-C6-MINI-1/U,,ESP32-C6-MINI-1U-N4,2.53,2.53
,,,,,,,5.11
