Designator,Mid X,Mid Y,Rotation,Layer
C1,158.8,-81.4,180.0,top
C2,157.6,-78.8,0.0,top
C3,157.625,-72.0389,180.0,top
C4,157.625,-70.2389,180.0,top
C5,165.2,-63.8,270.0,top
C6,157.625,-68.0139,180.0,top
D1,172.4,-81.4,0.0,top
D2,175.3957,-70.2139,270.0,top
FID1,156.6,-59.6,0.0,top
FID2,175.5957,-75.8139,0.0,top
FID3,156.3957,-75.8139,0.0,top
J1,154.4,-57.5,0.0,top
R1,175.6,-78.975,90.0,top
R2,157.625,-66.0139,0.0,top
R3,175.3957,-66.6139,90.0,top
SW1,160.75,-62.5915,0.0,top
U1,166.975,-70.525,0.0,top
